"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/Users/anthonywheeler/Documents/Development/Personal/SetupAI/force-app/main/default/classes/Callout.cls","49","58","AvoidUnauthorizedGetSessionIdInApex","Use of UserInfo.getSessionId might not be authorized.","https://github.com/forcedotcom/sfdx-scanner/blob/dev/pmd-appexchange/docs/AvoidUnauthorizedGetSessionIdInApex.md","AppExchange Security Review","pmd-appexchange"
"2","3","/Users/anthonywheeler/Documents/Development/Personal/SetupAI/force-app/main/default/classes/FeatureManager.cls","64","66","AvoidHardcodedCredentials","Remove hard-coded credentials from source code.","https://github.com/forcedotcom/sfdx-scanner/blob/dev/pmd-appexchange/docs/AvoidHardcodedCredentials.md","AppExchange Security Review","pmd-appexchange"
"3","3","/Users/anthonywheeler/Documents/Development/Personal/SetupAI/force-app/main/default/classes/FeatureManager.cls","70","57","AvoidHardcodedCredentials","Remove hard-coded credentials from source code.","https://github.com/forcedotcom/sfdx-scanner/blob/dev/pmd-appexchange/docs/AvoidHardcodedCredentials.md","AppExchange Security Review","pmd-appexchange"
"4","3","/Users/anthonywheeler/Documents/Development/Personal/SetupAI/force-app/main/default/classes/OpenAIMock.cls","55","25","AvoidHardcodedCredentials","Remove hard-coded credentials from source code.","https://github.com/forcedotcom/sfdx-scanner/blob/dev/pmd-appexchange/docs/AvoidHardcodedCredentials.md","AppExchange Security Review","pmd-appexchange"
"5","3","/Users/anthonywheeler/Documents/Development/Personal/SetupAI/force-app/main/default/classes/OpenAIMock.cls","83","60","AvoidHardcodedCredentials","Remove hard-coded credentials from source code.","https://github.com/forcedotcom/sfdx-scanner/blob/dev/pmd-appexchange/docs/AvoidHardcodedCredentials.md","AppExchange Security Review","pmd-appexchange"
"6","3","/Users/anthonywheeler/Documents/Development/Personal/SetupAI/force-app/main/default/classes/TestFunction.cls","57","33","AvoidHardcodedCredentials","Remove hard-coded credentials from source code.","https://github.com/forcedotcom/sfdx-scanner/blob/dev/pmd-appexchange/docs/AvoidHardcodedCredentials.md","AppExchange Security Review","pmd-appexchange"
"7","3","/Users/anthonywheeler/Documents/Development/Personal/SetupAI/force-app/main/default/classes/TestFunction.cls","58","33","AvoidHardcodedCredentials","Remove hard-coded credentials from source code.","https://github.com/forcedotcom/sfdx-scanner/blob/dev/pmd-appexchange/docs/AvoidHardcodedCredentials.md","AppExchange Security Review","pmd-appexchange"
"8","3","/Users/anthonywheeler/Documents/Development/Personal/SetupAI/force-app/main/default/classes/TestFunction.cls","359","43","AvoidHardcodedCredentials","Remove hard-coded credentials from source code.","https://github.com/forcedotcom/sfdx-scanner/blob/dev/pmd-appexchange/docs/AvoidHardcodedCredentials.md","AppExchange Security Review","pmd-appexchange"
"9","3","/Users/anthonywheeler/Documents/Development/Personal/SetupAI/force-app/main/default/classes/TestFunction.cls","389","33","AvoidHardcodedCredentials","Remove hard-coded credentials from source code.","https://github.com/forcedotcom/sfdx-scanner/blob/dev/pmd-appexchange/docs/AvoidHardcodedCredentials.md","AppExchange Security Review","pmd-appexchange"
